date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2021-09-28,7.86,7.93,7.92,7.82,78613.01,0.06,0.76,8.066,8.254,8.396,128096.99,118273.41,121984.72,0.56
2021-09-27,8.07,8.12,7.86,7.8,174025.19,-0.19,-2.36,8.132,8.325,8.402,133835.94,122219.57,121683.02,1.25
2021-09-24,8.24,8.26,8.05,8.04,139987.75,-0.16,-1.95,8.25,8.413,8.41,124588.16,113846.18,116491.64,1.01
2021-09-23,8.32,8.42,8.21,8.21,161818.81,-0.08,-0.96,8.334,8.488,8.412,114399.46,117383.48,114676.4,1.16
2021-09-22,8.1,8.31,8.29,8.08,86040.17,0.04,0.48,8.374,8.525,8.402,108972.06,109897.02,110660.39,0.62
2021-09-17,8.43,8.46,8.25,8.18,107307.76,-0.2,-2.37,8.442,8.554,8.388,108449.83,111059.99,111297.67,0.77
2021-09-16,8.49,8.65,8.45,8.43,127786.29,-0.02,-0.24,8.518,8.592,8.376,110603.19,116770.13,110607.22,0.92
2021-09-15,8.42,8.5,8.47,8.37,89044.26,0.06,0.71,8.576,8.588,8.36,103104.2,112721.82,108800.61,0.64
2021-09-14,8.64,8.66,8.41,8.4,134681.84,-0.22,-2.55,8.642,8.589,8.338,120367.5,116925.37,108068.02,0.97
2021-09-13,8.63,8.73,8.63,8.61,83429.0,0.0,0.0,8.676,8.588,8.319,110821.98,122427.0,105422.97,0.6
2021-09-10,8.74,8.85,8.63,8.62,118074.58,-0.11,-1.26,8.666,8.537,8.292,113670.14,125696.03,104973.49,0.85
2021-09-09,8.76,8.8,8.74,8.68,90291.32,-0.06,-0.68,8.666,8.479,8.265,122937.06,121146.47,103484.66,0.65
2021-09-08,8.59,8.86,8.8,8.57,175360.77,0.22,2.56,8.6,8.407,8.234,122339.43,119137.09,103208.68,1.26
2021-09-07,8.6,8.65,8.58,8.55,86954.25,0.0,0.0,8.536,8.336,8.201,113483.24,111969.31,97926.4,0.62
2021-09-06,8.67,8.68,8.58,8.51,97669.79,-0.05,-0.58,8.5,8.278,8.178,134032.01,111423.75,97315.67,0.7
2021-09-03,8.42,8.72,8.63,8.42,164409.17,0.22,2.62,8.408,8.222,8.156,137721.91,111535.35,95539.76,1.18
2021-09-02,8.45,8.48,8.41,8.32,87303.18,-0.07,-0.82,8.292,8.16,8.128,119355.87,104444.31,90634.51,0.63
2021-09-01,8.38,8.55,8.48,8.32,131079.8,0.08,0.95,8.214,8.131,8.113,115934.75,104879.4,89414.55,0.94
2021-08-31,8.13,8.42,8.4,8.1,189698.12,0.28,3.45,8.136,8.087,8.098,110455.38,99210.67,88866.3,1.36
2021-08-30,8.05,8.25,8.12,8.04,116119.28,0.07,0.87,8.056,8.049,8.098,88815.48,88418.95,84329.69,0.83
2021-08-27,8.01,8.06,8.05,7.98,72578.97,0.03,0.37,8.036,8.046,8.105,85348.79,84250.96,82560.96,0.52
2021-08-26,8.07,8.09,8.02,8.01,70197.6,-0.07,-0.86,8.028,8.05,8.116,89532.76,85822.86,86054.15,0.5
2021-08-25,8.0,8.16,8.09,7.94,103682.95,0.09,1.12,8.048,8.061,8.119,93824.04,87280.26,88401.48,0.74
2021-08-24,8.01,8.03,8.0,7.96,81498.61,-0.02,-0.25,8.038,8.066,8.124,87965.96,83883.5,90698.13,0.59
2021-08-23,8.03,8.08,8.02,7.97,98785.82,0.01,0.12,8.042,8.078,8.152,88022.42,83207.59,91325.0,0.71
2021-08-20,8.14,8.15,8.01,7.98,93498.81,-0.11,-1.35,8.056,8.089,8.179,83153.13,79544.18,91973.72,0.67
2021-08-19,8.04,8.2,8.12,8.02,91654.01,0.08,0.99,8.072,8.095,8.21,82112.97,76824.7,93889.0,0.66
2021-08-18,8.01,8.06,8.04,7.97,74392.55,0.02,0.25,8.074,8.094,8.225,80736.48,73949.7,91705.15,0.53
2021-08-17,8.09,8.13,8.02,8.0,81780.91,-0.07,-0.86,8.094,8.109,8.242,79801.03,78521.94,91406.12,0.59
2021-08-16,8.08,8.15,8.09,8.05,74439.39,0.0,0.0,8.114,8.146,8.263,78392.76,80240.42,89655.05,0.53
2021-08-13,8.14,8.15,8.09,7.95,88297.98,-0.04,-0.49,8.122,8.164,8.283,75935.22,80870.96,89630.28,0.63
2021-08-12,8.14,8.23,8.13,8.12,84771.56,-0.01,-0.12,8.118,8.182,8.298,71536.44,86285.44,88257.17,0.61
